web_scraper_order,web_scraper_start_url,pagination-selector,price,data,image
"1770053921-61","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","289.00","วิสกัส อาหารแมวชนิดเม็ด สำหรับแมวโต รสปลาทะเล 3 กก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/07/88/8853301400107/thumbnail/8853301400107_1-20251031172059-.jpg"
"1770053921-62","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","17.00","โปรไดเอท อาหารแมวชนิดเปียก รสปลาทูกับปลาแซลมอนในเจลลี่ 85 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/78/95/9555544200078/thumbnail/9555544200078_1-20231127183452-.jpg"
"1770053921-63","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","23.00","เน็กโกะ ซีเนียร์ 7+ อาหารแมวสูงอายุ 7 ปีขึ้นไป ปลาทูน่าหน้าเนื้อไก่ในน้ำเกรวี่ 70 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/94/88/8859160402894/thumbnail/8859160402894_1-20231106135939-.jpg"
"1770053921-64","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","135.00","วิสกัส อาหารแมวชนิดเม็ด รสปลาทะเล 1.2 กก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/04/93/9310022866104/thumbnail/9310022866104_1-20251031172059-.jpg"
"1770053921-65","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","109.00","บิ๊กซี แฮปปี้ ไพรซ์​ ทรายแมว กลิ่นเลมอน 5 ล.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/73/88/8852523011573/thumbnail/8852523011573_1-20240205161623-.jpg"
"1770053921-66","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","58.00","เพดดิกรี อาหารสุนัขชนิดเปียก รสเนื้อวัว สูตรโฮมสไตล์ 400 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/08/93/9310022726408/thumbnail/9310022726408_1-20240527151558-.jpg"
"1770053921-67","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","42.00","บิ๊กซี แฮปปี้ ไพรซ์ ชิกเก้น สตริป รสเนื้อ 40 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/84/88/8852523013584/thumbnail/8852523013584_1-20240306140750-.jpg"
"1770053921-68","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","23.00","มีโอ ดีไลท์ อาหารแมว รสทูน่าในเยลลี่ 70 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/13/88/8850477018013/thumbnail/8850477018013-20230207171718-.jpg"
"1770053921-69","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","135.00","วิสกัส อาหารแมว ชนิดเม็ด สูตรลูกแมว รสปลาทะเลและนม 1.1 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/12/88/8853301140812/thumbnail/8853301140812_1-20251031172054-.jpg"
"1770053921-70","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","135.00","วิสกัส อาหารแมวชนิดเม็ด รสปลาซาบะย่าง 1.2 กก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/02/88/8853301144902/thumbnail/8853301144902_1-20240624134655-.jpg"
"1770053921-71","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","24.00","เจอร์ไฮ เพาซ์ อาหารสุนัขชนิดเปียก รสเนื้อไก่และตับชิ้นในน้ำเกรวี่ 120 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/02/88/8851759961102/thumbnail/8851759961102_2.jpg"
"1770053921-72","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","29.00","บิ๊กซี แฮปปี้ ไพรซ์ โปร อาหารแมว รสปลาทูน่าในเยลลี่ 85 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/03/88/8850356052503/thumbnail/8850356052503_1-20240923135140-.jpg"
"1770053921-73","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","60.00","บิ๊กซี แฮปปี้ ไพรซ์ อาหารว่างสำหรับแมว ขนมแมวเลีย รสทูน่า 15 ก. แพ็ค 4","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/03/88/8852523011603/thumbnail/8852523011603_1-20240201151924-.jpg"
"1770053921-74","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","59.00","เชา ชูหรุ เนื้อสันในไก่ 70 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/78/88/8859387701978/thumbnail/8859387701978_1-20250523143645-.jpg"
"1770053921-75","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","51.00","ซีซาร์ อาหารสุนัขชนิดเปียก รสเนื้อไก่และตับบด 100 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/40/93/9334214036540/thumbnail/9334214036540_2-20241016143650-.jpg"
