web_scraper_order,web_scraper_start_url,pagination-selector,price,data,price2,image
"1770054171-1445","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","57,900.00","แอปเปิ้ล ไอโฟน 14 Pro Max สีม่วงเข้ม ขนาด 512 GB","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/27/20/2000007665927/thumbnail/2000007665927_1-20230410181717-.jpg"
"1770054171-1446","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","36,900.00","แอปเปิ้ล ไอโฟน 14 สีเหลือง ขนาด 256 GB","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/38/20/2000007789838/thumbnail/2000007789838_1-20230410140742-.jpg"
"1770054171-1447","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","45,900.00","แอปเปิ้ล ไอโฟน 14 สีเหลือง ขนาด 512 GB","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/45/20/2000007789845/thumbnail/2000007789845_1-20230410140744-.jpg"
"1770054171-1448","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","54,900.00","แอปเปิ้ล ไอโฟน 14 Pro สีม่วง ขนาด 512 GB","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/67/20/2000007665767/thumbnail/2000007665767_1-20230410145859-.jpg"
"1770054171-1449","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","50,900.00","แอปเปิ้ล ไอโฟน 14 พลัส สีเหลือง ขนาด 512 GB","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/76/20/2000007789876/thumbnail/2000007789876_1-20230410145335-.jpg"
"1770054171-1450","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","41,900.00","แอปเปิ้ล ไอโฟน 14 พลัส สีเหลือง ขนาด 256 GB","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/69/20/2000007789869/thumbnail/2000007789869_1-20230410145334-.jpg"
"1770054171-1451","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","37,900.00","แอปเปิ้ล ไอโฟน 14 พลัส สีเหลือง ขนาด 128 GB","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/52/20/2000007789852/thumbnail/2000007789852_1-20230410145333-.jpg"
"1770054171-1452","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","41,900.00","แอปเปิ้ล ไอโฟน 14 พลัส สีแดงโปรดักซ์เรด ขนาด 256 GB","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/83/20/2000007665583/thumbnail/2000007665583_1-20230410144752-.jpg"
"1770054171-1453","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","37,900.00","แอปเปิ้ล ไอโฟน 14 พลัส สีมิดไนท์ ขนาด 128 GB","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/07/20/2000007665507/thumbnail/2000007665507_1-20230410144219-.jpg"
"1770054171-1454","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","8,999.00","ออปโป้ สมาร์ทโฟน รุ่น A78 ขนาด 8/128GB สีดำ Glowing Black","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/76/20/2000007755376/thumbnail/2000007755376_1-20230519104248-.jpg"
"1770054171-1455","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","8,999.00","ออปโป้ สมาร์ทโฟน รุ่น A78 ขนาด 8/128GB สีม่วง Glowing Purple","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/83/20/2000007755383/thumbnail/2000007755383_1-20230519104259-.jpg"
